No.,Book_id,Book_name
131,TP311.561/071/2017,Python新手使用Django架站的16堂课
132,TP311.561/097/2018,零起点Python大数据与量化交易
133,TP311.561/099/2018,零起点Python机器学习快速入门
134,TP311.56/0920/2015,Python语言程序设计
135,TP311.56/0893/2012,Python入门经典：以解决计算问题为导向的Python编程实践
136,TP311.561/0121/2018,利用Python开源工具分析恶意代码
137,TP311.56/0953/2017,Python机器学习及实践：从零开始通往Kaggle竞赛之路
138,TP311.56/0929/2016,学习Python：做个有编程能力的设计师
139,TP311.56/0906/2014,Python数据分析基础教程：Numpy学习指南：第2版
140,TP311.561/0109/2018,Python+Spark 2.0+Hadoop机器学习与大数据实战
141,TP311.56/0969/2018,机器人Python极客编程入门与实战
142,TP311.561/055/2016,Abaqus GUI程序开发指南：Python语言
143,TP311.56/0919/2015,Flask Web开发：基于Python的Web应用开发实战：developing Web applications with python
144,TP311.561/098/2018,Python金融衍生品大数据分析：建模、模拟、校准与对冲
145,TP311.561/029/2014,"Python编程实战：运用设计模式、并发和程序库创建高质量程序：create better programs using concurrency, libraries, and patterns"
146,TP311.561/012/2013,真实世界的Python仪器监控：数据采集与控制系统自动化
147,F719.52/016/2018,零起点Python足彩大数据与机器学习实盘分析
148,TP311.561/080/2017,Keras快速上手：基于Python的深度学习实战
149,TP311.561/0101/2018,NLTK基础教程：用NLTK和Python库构建机器学习应用
150,TP311.561/049/2016,Selenium 2自动化测试实战：基于Python语言
151,TP391.413/0424/2016,OpenCV 3计算机视觉：Python语言实现
152,TP311.13/0338/2016,数据科学入门：first principles with Python
153,TP311.56/0945/2016,教孩子学编程：Python语言版
154,TP311.561/090/2018,Python大战机器学习：数据科学家的第一个小目标
155,TP311.561/066/2017,Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现
156,TP242/0136/2016,Raspberry Pi机器人制作实例：用Python、Linux和传感器搭建智能小车
157,F272.4/023/2018,知识网络与合作网络的关系研究：基于Python编程
158,TP316.85/0159/2017,Raspberry Pi编程指南：基于Python的游戏编程与机器人制作
159,TP183/065-3/2018,图像处理与脉冲耦合神经网络：基于Python的实现
